participant_id,total_duration_s,piece_1_file,piece_1_start_s,piece_1_stop_s,piece_1_duration_s,piece_2_file,piece_2_start_s,piece_2_stop_s,piece_2_duration_s,piece_3_file,piece_3_start_s,piece_3_stop_s,piece_3_duration_s
1,1572.207,P1_video1_IMG1194.mp3,0.0,524.069,524.069,P1_video2_IMG1194.mp3,0.0,524.069,524.069,P1_video3_IMG1194.mp3,0.0,524.069,524.069
2,242.024,P2_video1_IMG1195.mp3,0.0,112.248,112.248,P2_video2_IMG1196.mp3,0.0,89.182,89.182,P2_video3_IMG1197.mp3,0.0,40.594,40.594
3,281.887,P3_video1_IMG1198.mp3,0.0,93.884,93.884,P3_video2_IMG1199.mp3,0.0,80.64,80.64,P3_video3_IMG1200.mp3,0.0,107.363,107.363
4,273.763,P4_video1_IMG1201.mp3,0.0,83.722,83.722,P4_video2_IMG1202.mp3,0.0,65.463,65.463,P4_video3_IMG1203.mp3,0.0,124.578,124.578
5,515.631,P5_video1_IMG0822.mp3,0.0,160.366,160.366,P5_video2_IMG0823.mp3,0.0,70.165,70.165,P5_video3_IMG0824.mp3,0.0,285.1,285.1
6,468.48,P6_video1_IMG0825.mp3,0.0,100.963,100.963,P6_video2_IMG0826.mp3,0.0,77.349,77.349,P6_video3_IMG0827.mp3,0.0,290.168,290.168
7,276.115,P7_video1_IMG0828.mp3,0.0,82.913,82.913,P7_video2_IMG0829.mp3,0.0,84.219,84.219,P7_video3_IMG0830.mp3,0.0,108.983,108.983
8,439.929,P8_video1_IMG1204.mp3,0.0,116.428,116.428,P8_video2_IMG1205.mp3,0.0,85.29,85.29,P8_video3_IMG1206.mp3,0.0,238.211,238.211
9,562.391,P9_video1_IMG1207.mp3,0.0,101.303,101.303,P9_video2_IMG1208.mp3,0.0,76.931,76.931,P9_video3_IMG1209.mp3,0.0,384.157,384.157
10,558.341,P10_video1_IMG1210.mp3,0.0,139.363,139.363,P10_video2_IMG1211.mp3,0.0,129.933,129.933,P10_video3_IMG1212.mp3,0.0,289.045,289.045
11,265.9,P11_video1_IMG1213.mp3,0.0,74.083,74.083,P11_video2_IMG1214.mp3,0.0,65.724,65.724,P11_video3_IMG1215.mp3,0.0,126.093,126.093
12,337.371,P12_video1_IMG1216.mp3,0.0,100.493,100.493,P12_video2_IMG1217.mp3,0.0,58.279,58.279,P12_video3_IMG1218.mp3,0.0,178.599,178.599
13,200.751,P13_video1_IMG1219.mp3,0.0,73.43,73.43,P13_video2_IMG1220.mp3,0.0,69.303,69.303,P13_video3_IMG1221.mp3,0.0,58.018,58.018
14,353.358,P14_video1_IMG1222.mp3,0.0,80.927,80.927,P14_video2_IMG1223.mp3,0.0,78.785,78.785,P14_video3_IMG1224.mp3,0.0,193.646,193.646
15,240.143,P15_video1_IMG1225.mp3,0.0,92.264,92.264,P15_video2_IMG1226.mp3,0.0,77.009,77.009,P15_video3_IMG1227.mp3,0.0,70.87,70.87
16,381.91,P16_video1_IMG1228.mp3,0.0,83.618,83.618,P16_video2_IMG1229.mp3,0.0,85.969,85.969,P16_video3_IMG1230.mp3,0.0,212.323,212.323
17,446.929,P17_video1_IMG1231.mp3,0.0,105.326,105.326,P17_video2_IMG1232.mp3,0.0,87.144,87.144,P17_video3_IMG1233.mp3,0.0,254.459,254.459
18,909.505,P18_video1_IMG1237.mp3,0.0,711.706,711.706,P18_video2_IMG1238.mp3,0.0,112.091,112.091,P18_video3_IMG1239.mp3,0.0,85.708,85.708
19,377.443,P19_video1_IMG1240.mp3,0.0,126.302,126.302,P19_video2_IMG1241.mp3,0.0,83.513,83.513,P19_video3_IMG1242.mp3,0.0,167.628,167.628
20,322.012,P20_video1_IMG1246.mp3,0.0,82.834,82.834,P20_video2_IMG1247.mp3,0.0,78.002,78.002,P20_video3_IMG1248.mp3,0.0,161.176,161.176
21,1137.475,P21_video1_IMG1249.mp3,0.0,92.395,92.395,P21_video2_IMG1250.mp3,0.0,96.104,96.104,P21_video3_IMG1251.mp3,0.0,948.976,948.976
22,323.344,P22_video1_IMG1252.mp3,0.0,76.643,76.643,P22_video2_IMG1253.mp3,0.0,70.087,70.087,P22_video3_IMG1254.mp3,0.0,176.614,176.614
24,283.743,P24_video1_IMG1258.mp3,0.0,97.411,97.411,P24_video2_IMG1259.mp3,0.0,72.882,72.882,P24_video3_IMG1260.mp3,0.0,113.45,113.45
25,210.835,P25_video1_IMG1261.mp3,0.0,63.974,63.974,P25_video2_IMG1262.mp3,0.0,59.063,59.063,P25_video3_IMG1263.mp3,0.0,87.798,87.798
26,346.933,P26_video1_IMG1264.mp3,0.0,86.727,86.727,P26_video2_IMG1265.mp3,0.0,78.524,78.524,P26_video3_IMG1266.mp3,0.0,181.682,181.682
27,627.879,P27_video1_IMG1267.mp3,0.0,101.172,101.172,P27_video2_IMG1268.mp3,0.0,67.135,67.135,P27_video3_IMG1269.mp3,0.0,459.572,459.572
28,378.724,P28_video1_IMG1270.mp3,0.0,110.838,110.838,P28_video2_IMG1271.mp3,0.0,135.184,135.184,P28_video3_IMG1272.mp3,0.0,132.702,132.702
29,276.167,P29_video1_IMG1273.mp3,0.0,89.731,89.731,P29_video2_IMG1274.mp3,0.0,60.395,60.395,P29_video3_IMG1275.mp3,0.0,126.041,126.041
