participant_id,piece_1_file,piece_1_delay_s,piece_1_music_start_s,piece_1_music_end_s,piece_1_duration_s,piece_2_file,piece_2_delay_s,piece_2_music_start_s,piece_2_music_end_s,piece_2_duration_s,piece_3_file,piece_3_delay_s,piece_3_music_start_s,piece_3_music_end_s,piece_3_duration_s
1,P1_video1_IMG1194.mp3,16.637,16.637,78.64,62.003,P1_video1_IMG1194.mp3,0.0,78.64,87.539,8.899,P1_video1_IMG1194.mp3,0.0,87.539,523.378,435.839
10,P10_video1_IMG1210.mp3,5.016,5.016,138.426,133.41,P10_video2_IMG1211.mp3,6.339,6.339,129.382,123.043,P10_video3_IMG1212.mp3,4.748,4.748,288.926,284.177
11,P11_video1_IMG1213.mp3,5.201,5.201,69.532,64.331,P11_video2_IMG1214.mp3,3.913,3.913,62.81,58.897,P11_video3_IMG1215.mp3,5.166,5.166,124.296,119.13
12,P12_video1_IMG1216.mp3,9.253,9.253,96.247,86.994,P12_video2_IMG1217.mp3,5.759,5.759,54.706,48.948,P12_video3_IMG1218.mp3,3.669,3.669,175.067,171.398
13,P13_video1_IMG1219.mp3,4.203,4.203,70.658,66.456,P13_video2_IMG1220.mp3,3.239,3.239,66.316,63.077,P13_video3_IMG1221.mp3,5.573,5.573,56.773,51.2
14,P14_video1_IMG1222.mp3,3.297,3.297,80.341,77.044,P14_video2_IMG1223.mp3,4.261,4.261,75.79,71.529,P14_video3_IMG1224.mp3,6.594,6.594,192.157,185.562
15,P15_video1_IMG1225.mp3,7.605,7.605,87.144,79.54,P15_video2_IMG1226.mp3,6.594,6.594,73.073,66.479,P15_video3_IMG1227.mp3,4.354,4.354,67.326,62.973
16,P16_video1_IMG1228.mp3,4.807,4.807,79.726,74.919,P16_video2_IMG1229.mp3,7.5,7.5,82.651,75.151,P16_video3_IMG1230.mp3,8.243,8.243,207.261,199.018
17,P17_video1_IMG1231.mp3,6.13,6.13,104.141,98.011,P17_video2_IMG1232.mp3,4.168,4.168,83.278,79.11,P17_video3_IMG1233.mp3,9.021,9.021,253.632,244.611
18,P18_video1_IMG1237.mp3,4.899,4.899,710.786,705.887,P18_video2_IMG1238.mp3,2.961,2.961,108.402,105.442,P18_video3_IMG1239.mp3,4.598,4.598,84.463,79.865
19,P19_video1_IMG1240.mp3,5.48,5.48,121.916,116.436,P19_video2_IMG1241.mp3,1.416,1.416,81.885,80.469,P19_video3_IMG1242.mp3,5.608,5.608,163.736,158.128
2,P2_video1_IMG1195.mp3,7.674,7.674,109.842,102.168,P2_video2_IMG1196.mp3,9.915,9.915,85.322,75.407,P2_video3_IMG1197.mp3,1.022,1.022,37.129,36.107
20,P20_video1_IMG1246.mp3,3.309,3.309,82.466,79.157,P20_video2_IMG1247.mp3,2.38,2.38,75.523,73.143,P20_video3_IMG1248.mp3,4.981,4.981,160.996,156.015
21,P21_video1_IMG1249.mp3,4.714,4.714,89.675,84.962,P21_video2_IMG1250.mp3,5.259,5.259,95.898,90.639,P21_video3_IMG1251.mp3,7.012,7.012,948.907,941.894
22,P22_video1_IMG1252.mp3,2.647,2.647,72.957,70.31,P22_video2_IMG1253.mp3,4.563,4.563,69.88,65.318,P22_video3_IMG1254.mp3,4.075,4.075,175.102,171.027
24,P24_video1_IMG1258.mp3,1.66,1.66,93.658,91.997,P24_video2_IMG1259.mp3,5.375,5.375,70.728,65.353,P24_video3_IMG1260.mp3,3.437,3.437,110.121,106.684
25,P25_video1_IMG1261.mp3,1.672,1.672,61.034,59.362,P25_video2_IMG1262.mp3,2.078,2.078,57.005,54.927,P25_video3_IMG1263.mp3,5.526,5.526,87.737,82.21
26,P26_video1_IMG1264.mp3,1.254,1.254,83.336,82.083,P26_video2_IMG1265.mp3,5.375,5.375,75.894,70.519,P26_video3_IMG1266.mp3,5.259,5.259,180.465,175.206
27,P27_video1_IMG1267.mp3,7.221,7.221,96.549,89.327,P27_video2_IMG1268.mp3,4.679,4.679,64.911,60.233,P27_video3_IMG1269.mp3,3.32,3.32,459.418,456.098
28,P28_video1_IMG1270.mp3,3.204,3.204,110.167,106.963,P28_video2_IMG1271.mp3,1.498,1.498,132.841,131.344,P28_video3_IMG1272.mp3,2.821,2.821,130.705,127.884
29,P29_video1_IMG1273.mp3,5.004,5.004,85.751,80.747,P29_video2_IMG1274.mp3,2.473,2.473,60.337,57.864,P29_video3_IMG1275.mp3,3.471,3.471,124.006,120.535
3,P3_video1_IMG1198.mp3,8.127,8.127,91.278,83.151,P3_video2_IMG1199.mp3,18.019,18.019,80.039,62.02,P3_video3_IMG1200.mp3,6.246,6.246,107.207,100.96
4,P4_video1_IMG1201.mp3,5.55,5.55,82.024,76.475,P4_video2_IMG1202.mp3,4.818,4.818,64.668,59.849,P4_video3_IMG1203.mp3,12.806,12.806,123.751,110.945
5,P5_video1_IMG0822.mp3,40.972,40.972,158.604,117.632,P5_video2_IMG0823.mp3,3.715,3.715,69.126,65.411,P5_video3_IMG0824.mp3,6.769,6.769,283.91,277.142
6,P6_video1_IMG0825.mp3,4.214,4.214,100.078,95.864,P6_video2_IMG0826.mp3,4.005,4.005,76.22,72.214,P6_video3_IMG0827.mp3,8.684,8.684,289.321,280.636
7,P7_video1_IMG0828.mp3,4.969,4.969,82.048,77.079,P7_video2_IMG0829.mp3,7.779,7.779,83.476,75.697,P7_video3_IMG0830.mp3,5.19,5.19,107.984,102.795
8,P8_video1_IMG1204.mp3,9.265,9.265,113.743,104.478,P8_video2_IMG1205.mp3,5.817,5.817,84.706,78.89,P8_video3_IMG1206.mp3,1.869,1.869,237.9,236.031
9,P9_video1_IMG1207.mp3,3.831,3.831,99.405,95.573,P9_video2_IMG1208.mp3,3.344,3.344,76.22,72.876,P9_video3_IMG1209.mp3,9.033,9.033,377.104,368.071
