participant_id,video,hex_piece,clip_dur_s,hex_dur_s,dur_resid_s,remapped,degenerate
1,1,1,518.1,70.0,448.1,False,True
1,2,2,518.1,76.0,442.1,False,True
1,3,3,518.1,230.0,288.1,False,True
2,1,1,102.2,99.0,3.2,False,False
2,2,2,84.8,81.0,3.8,False,False
2,3,3,36.1,53.0,16.9,False,False
3,1,1,88.3,92.0,3.7,False,False
3,2,2,72.3,69.0,3.3,False,False
3,3,3,104.4,107.0,2.6,False,False
4,1,1,79.8,84.0,4.2,False,False
4,2,2,59.9,67.0,7.1,False,False
4,3,3,118.3,123.0,4.7,False,False
5,1,1,158.2,106.0,52.2,False,False
5,2,2,69.1,71.0,1.9,False,False
5,3,3,283.7,289.0,5.3,False,False
6,1,1,98.9,105.0,6.1,False,False
6,2,2,76.1,72.0,4.1,False,False
6,3,3,284.6,291.0,6.4,False,False
7,1,1,82.1,86.0,3.9,False,False
7,2,2,83.2,82.0,1.2,False,False
7,3,3,105.1,,,False,False
8,1,1,107.9,115.0,7.1,False,False
8,2,2,81.9,89.0,7.1,False,False
8,3,3,236.1,251.0,14.9,False,False
9,1,1,95.7,102.0,6.3,False,False
9,2,2,76.3,81.0,4.7,False,False
9,3,3,372.0,381.0,9.0,False,False
11,1,1,68.2,75.0,6.8,False,False
11,2,2,61.0,68.0,7.0,False,False
11,3,3,122.2,130.0,7.8,False,False
12,1,1,94.1,103.0,8.9,False,False
12,2,2,54.8,63.0,8.2,False,False
12,3,3,174.5,182.0,7.5,False,False
13,1,1,68.9,84.0,15.1,False,False
13,2,2,66.2,71.0,4.8,False,False
13,3,3,53.1,59.0,5.9,False,False
14,1,1,78.9,82.0,3.1,False,False
14,2,2,74.8,80.0,5.2,False,False
14,3,3,188.2,193.0,4.8,False,False
15,1,1,85.9,95.0,9.1,False,False
15,2,2,71.7,79.0,7.3,False,False
15,3,3,65.8,74.0,8.2,False,False
16,1,1,79.8,89.0,9.2,False,False
16,2,2,81.3,80.0,1.3,False,False
16,3,3,205.9,206.0,0.1,False,False
18,1,3,708.8,714.0,5.2,True,False
18,2,1,108.7,115.0,6.3,True,False
18,3,2,82.3,87.0,4.7,True,False
19,1,1,118.3,126.0,7.7,False,False
19,2,2,80.5,85.0,4.5,False,False
19,3,3,159.8,170.0,10.2,False,False
21,1,1,85.0,99.0,14.0,False,False
21,2,2,93.8,96.0,2.2,False,False
21,3,3,948.0,955.0,7.0,False,False
22,1,1,70.5,80.0,9.5,False,False
22,2,2,68.2,72.0,3.8,False,False
22,3,3,173.7,179.0,5.3,False,False
24,1,1,92.1,104.0,11.9,False,False
24,2,2,67.7,76.0,8.3,False,False
24,3,3,106.7,114.1,7.4,False,False
25,1,1,59.7,71.0,11.3,False,False
25,2,2,57.0,71.0,14.0,False,False
25,3,3,82.3,89.0,6.7,False,False
26,1,1,82.4,97.0,14.6,False,False
26,2,2,72.5,78.0,5.5,False,False
26,3,3,175.2,187.0,11.8,False,False
27,1,1,95.1,102.0,6.9,False,False
27,2,2,63.1,68.0,4.9,False,False
27,3,3,455.9,460.0,4.1,False,False
28,1,1,108.6,112.0,3.4,False,False
28,2,2,132.8,137.0,4.2,False,False
28,3,3,129.3,134.0,4.7,False,False
29,1,1,84.9,92.0,7.1,False,False
29,2,2,60.3,65.0,4.7,False,False
29,3,3,122.3,129.0,6.7,False,False
