participant,participant_id,piece,condition,window_s,n_sensors,motion_energy,jerk_mean,motion_dur_s
P1,1,1,sight_reading,0.0,0,,,
P1,1,2,sight_reading,0.0,3,2.2384836229287988,49.22534925484704,72.62777777777778
P1,1,3,self_selected,0.0,3,1.3294533148046341,35.82094401246176,227.2611111111111
P2,2,1,sight_reading,0.0,3,0.8659352142504787,27.124309378821682,98.87222222222222
P2,2,2,sight_reading,0.0,3,1.7058931256944418,51.90156421772696,80.37777777777778
P2,2,3,self_selected,0.0,3,2.722922319177011,89.88985887215347,47.18888888888889
P3,3,1,sight_reading,0.0,3,0.7380922989595818,21.876817361175792,91.2611111111111
P3,3,2,sight_reading,0.0,3,2.337496674504418,62.31486307347967,68.17222222222222
P3,3,3,self_selected,0.0,3,2.099119772919348,55.871462620960095,104.88333333333333
P4,4,1,sight_reading,0.0,3,1.0351075489603074,23.000733265266124,81.52777777777779
P4,4,2,sight_reading,0.0,3,1.8540681500125966,50.02985973532973,64.7
P4,4,3,self_selected,0.0,3,1.4674309952555262,29.241129610568887,127.98333333333333
P5,5,1,sight_reading,0.0,3,0.6660783775680295,16.24837316779043,101.84444444444443
P5,5,2,sight_reading,0.0,3,1.7132202245331525,43.20220173708349,67.1
P5,5,3,self_selected,0.0,3,1.5009913770958174,37.023947210915985,282.88888888888886
P6,6,1,sight_reading,0.0,2,0.471063566482451,11.412523141626165,97.96666666666667
P6,6,2,sight_reading,0.0,3,2.8345402454715245,65.32386803052823,72.7611111111111
P6,6,3,self_selected,0.0,3,3.66990612616822,81.84752866033756,287.7944444444444
P7,7,1,sight_reading,0.0,3,0.6089971374857831,17.453841896063683,82.3611111111111
P7,7,2,sight_reading,0.0,3,1.1803685721790451,29.068099679256353,82.05555555555556
P7,7,3,self_selected,0.0,3,1.150758583678661,30.84126315224808,106.18333333333334
P8,8,1,sight_reading,0.0,3,0.6508911089859893,15.846776096901833,112.15000000000002
P8,8,2,sight_reading,0.0,3,1.9438856192466532,47.2245677141297,84.5
P8,8,3,self_selected,0.0,3,3.2935790916109284,111.27142658990704,245.25
P9,9,1,sight_reading,0.0,3,0.5905844214163257,14.120479747604756,101.28888888888889
P9,9,2,sight_reading,0.0,3,0.8569392718637886,24.938424130301474,80.51666666666667
P9,9,3,self_selected,0.0,3,2.7640732278012172,63.30746279814454,381.3
P10,10,1,sight_reading,0.0,3,0.7159538775139543,19.13125563910883,141.5388888888889
P10,10,2,sight_reading,0.0,3,1.21601235844665,25.97246190331901,129.88333333333335
P10,10,3,self_selected,0.0,3,1.0612352380929282,27.470599822997254,286.0
P11,11,1,sight_reading,0.0,3,0.7335535881769081,21.108852687603996,74.72222222222221
P11,11,2,sight_reading,0.0,3,1.827720731589235,42.99573880777776,66.60555555555555
P11,11,3,self_selected,0.0,3,1.6799927472893732,38.484813702650165,124.71666666666668
P12,12,1,sight_reading,0.0,2,0.5677747828138819,11.396799924592132,100.35
P12,12,2,sight_reading,0.0,3,1.3173265135840724,39.230338025501425,58.13333333333333
P12,12,3,self_selected,0.0,3,1.2307485261127928,32.42203413269564,180.51666666666668
P13,13,1,sight_reading,0.0,3,0.8957747410981908,26.50585001984847,75.25
P13,13,2,sight_reading,0.0,3,1.7842053589725833,50.96516134591775,70.72777777777777
P13,13,3,self_selected,0.0,3,3.0820765933543632,115.03329082966006,58.97777777777778
P14,14,1,sight_reading,0.0,3,0.5784886133132846,17.902218108094775,79.75555555555555
P14,14,2,sight_reading,0.0,3,1.0845159669534983,31.37635402974883,80.35555555555554
P14,14,3,self_selected,0.0,3,1.001874107169115,30.461893589680745,193.4
P15,15,1,sight_reading,0.0,3,0.7916161195202146,20.575411212532085,92.43888888888888
P15,15,2,sight_reading,0.0,3,1.6728336210100938,45.23372412732289,78.46111111111111
P15,15,3,self_selected,0.0,3,2.085849338944181,70.22706468750016,73.22777777777777
P16,16,1,sight_reading,0.0,3,0.6815367406401406,15.129668409285605,89.83333333333333
P16,16,2,sight_reading,0.0,3,1.9295077615446512,45.717425349235334,80.35000000000001
P16,16,3,self_selected,0.0,3,1.0405719334933365,29.595059300815407,203.35000000000002
P17,17,1,sight_reading,0.0,3,0.5352224328441929,13.324354300428316,103.46111111111111
P17,17,2,sight_reading,0.0,3,1.4221998913881624,33.68855026409504,87.64444444444445
P17,17,3,self_selected,0.0,3,2.0096376529399507,45.428100701106054,250.14444444444447
P18,18,1,sight_reading,0.0,3,0.7379846072565583,17.532754218683035,115.06666666666666
P18,18,2,sight_reading,0.0,2,1.2620002355828133,21.23082430119985,86.16666666666667
P18,18,3,self_selected,0.0,0,,,
P19,19,1,sight_reading,0.0,3,0.4979399910922524,12.857041025246758,125.46111111111111
P19,19,2,sight_reading,0.0,3,1.7144251558934762,41.30344348514612,84.35
P19,19,3,self_selected,0.0,3,2.1841663245582876,41.71231039363036,168.89444444444442
P20,20,1,sight_reading,0.0,2,0.8547034178669976,26.154131699105726,85.79166666666666
P20,20,2,sight_reading,0.0,2,2.029810851097052,51.96148005204155,81.43333333333334
P20,20,3,self_selected,0.0,2,3.295370311641687,118.28555624764593,160.48333333333332
P21,21,1,sight_reading,0.0,2,1.6575467181922157,29.675704525138507,96.07499999999999
P21,21,2,sight_reading,0.0,2,2.1560018609422116,53.866164482506065,95.76666666666667
P21,21,3,self_selected,0.0,2,6.258815045457366,144.59704485207857,955.6333333333333
P22,22,1,sight_reading,0.0,2,1.259735331246526,31.2550697856788,77.75833333333333
P22,22,2,sight_reading,0.0,2,2.7925988323193396,66.4791630874692,69.36666666666667
P22,22,3,self_selected,0.0,2,4.737527739081888,116.29111020225695,176.96666666666664
P24,24,1,sight_reading,0.0,3,0.6994518787971628,15.554523379458828,101.25
P24,24,2,sight_reading,0.0,3,1.8359465454167925,44.01003883533377,74.63333333333334
P24,24,3,self_selected,0.0,3,1.443412641328268,29.346027778531152,115.48333333333335
P25,25,1,sight_reading,0.0,0,,,
P25,25,2,sight_reading,0.0,3,1.6234635516927192,33.471023955435065,73.02777777777777
P25,25,3,self_selected,0.0,3,0.920224180587106,16.74987903510455,89.01666666666667
P26,26,1,sight_reading,0.0,3,0.7751486056350663,22.140808668614664,95.74444444444445
P26,26,2,sight_reading,0.0,3,2.464471015328641,62.41254969746828,77.91111111111111
P26,26,3,self_selected,0.0,3,6.078362581272152,138.24969301899344,190.46666666666667
P27,27,1,sight_reading,0.0,3,0.5901073415918111,14.470980637454515,102.69444444444446
P27,27,2,sight_reading,0.0,1,0.25431059090995534,8.447945224202849,68.0
P27,27,3,self_selected,0.0,3,3.1189577286125467,80.00787661206762,460.2722222222222
P28,28,1,sight_reading,0.0,2,1.1502851705814519,34.95879483491079,114.79166666666666
P28,28,2,sight_reading,0.0,3,1.0618256823843515,29.477127458080194,137.5
P28,28,3,self_selected,0.0,3,2.742128867670323,104.41025270832729,135.35555555555558
P29,29,1,sight_reading,0.0,3,0.996193378278391,23.344004876692164,95.52222222222223
P29,29,2,sight_reading,0.0,3,2.128348397027615,58.48832762094681,63.677777777777784
P29,29,3,self_selected,0.0,3,3.141843831053599,127.11640651688303,130.76111111111112
